	BELGIUM	sys_par_name	sys_reserved	sys_first_sys	BE_2005	BE_2006	BE_2007	BE_2008	BE_2009	BE_2010	sys_end_sys
		comp9_perElig	123		$UI_ReplRateCohabDisab*yempv	$UI_ReplRateCohabDisab*yempv	$UI_ReplRateCohabDisab*yempv	$UI_ReplRateCohabDisab*yempv	$UI_ReplRateCohabDisab*yempv	$UI_ReplRateCohabDisab*yempv	
		comp10_cond	124		{sin05_s=0} & {IsWithPartner} & !{IsDisabled} & {lunmy<=12}	{sin05_s=0} & {IsWithPartner} & !{IsDisabled} & {lunmy<=12}	{sin05_s=0} & {IsWithPartner} & !{IsDisabled} & {lunmy<=12}	{sin05_s=0} & {IsWithPartner} & !{IsDisabled} & {lunmy<=12}	{sin05_s=0} & {IsWithPartner} & !{IsDisabled} & {lunmy<=6}	{sin05_s=0} & {IsWithPartner} & !{IsDisabled} & {lunmy<=6}	
		comp10_perElig	125		$UI_ReplRateCohab6M*yempv	$UI_ReplRateCohab6M*yempv	$UI_ReplRateCohab6M*yempv	$UI_ReplRateCohab6M*yempv	$UI_ReplRateCohab6M*yempv	$UI_ReplRateCohab6M*yempv	
		comp10_lowlim_amount	126		$UI_LowLimCohab6M	$UI_LowLimCohab6M	$UI_LowLimCohab6M	$UI_LowLimCohab6M	$UI_LowLimCohab6M	$UI_LowLimCohab6M	
		comp10_uplim_amount	127		$UI_UpLimCohab6M	$UI_UpLimCohab6M	$UI_UpLimCohab6M	$UI_UpLimCohab6M	$UI_UpLimCohab6M	$UI_UpLimCohab6M	
		comp11_cond	128		{sin05_s=0} & {IsWithPartner} & !{IsDisabled} & ({lunmy>=7} & {lunmy<=12})	{sin05_s=0} & {IsWithPartner} & !{IsDisabled} & ({lunmy>=7} & {lunmy<=12})	{sin05_s=0} & {IsWithPartner} & !{IsDisabled} & ({lunmy>=7} & {lunmy<=12})	{sin05_s=0} & {IsWithPartner} & !{IsDisabled} & ({lunmy>=7} & {lunmy<=12})	{sin05_s=0} & {IsWithPartner} & !{IsDisabled} & ({lunmy>=7} & {lunmy<=12})	{sin05_s=0} & {IsWithPartner} & !{IsDisabled} & ({lunmy>=7} & {lunmy<=12})	
		comp11_perElig	129		0	0	0	0	$UI_ReplRateCohab7to12M*yempv	$UI_ReplRateCohab7to12M*yempv	
		comp11_lowlim_amount	130		0	0	0	0	$UI_LowLimCohab7to12M	$UI_LowLimCohab7to12M	
		comp11_uplim_amount	131		0	0	0	0	$UI_UpLimCohab7to12M	$UI_UpLimCohab7to12M	
		comp12_cond	132		{sin05_s=0} & {IsWithPartner} & !{IsDisabled} & ({lunmy>12} & {lunmy<=15})	{sin05_s=0} & {IsWithPartner} & !{IsDisabled} & ({lunmy>12} & {lunmy<=15})	{sin05_s=0} & {IsWithPartner} & !{IsDisabled} & ({lunmy>12} & {lunmy<=15})	{sin05_s=0} & {IsWithPartner} & !{IsDisabled} & ({lunmy>12} & {lunmy<=15})	{sin05_s=0} & {IsWithPartner} & !{IsDisabled} & ({lunmy>12} & {lunmy<=15})	{sin05_s=0} & {IsWithPartner} & !{IsDisabled} & ({lunmy>12} & {lunmy<=15})	
		comp12_perElig	133		$UI_ReplRateCohab13to15M*yempv	$UI_ReplRateCohab13to15M*yempv	$UI_ReplRateCohab13to15M*yempv	$UI_ReplRateCohab13to15M*yempv	$UI_ReplRateCohab13to15M*yempv	$UI_ReplRateCohab13to15M*yempv	
		comp12_lowlim_amount	134		$UI_LowLimCohab13to15M	$UI_LowLimCohab13to15M	$UI_LowLimCohab13to15M	$UI_LowLimCohab13to15M	$UI_LowLimCohab13to15M	$UI_LowLimCohab13to15M	
		comp12_uplim_amount	135		$UI_UpLimCohab13to15M	$UI_UpLimCohab13to15M	$UI_UpLimCohab13to15M	$UI_UpLimCohab13to15M	$UI_UpLimCohab13to15M	$UI_UpLimCohab13to15M	
